,,(in $),,,,,
Rank,Release Group,Worldwide,Domestic,Foreign,year,Domestic %,Foreign %
893,Spirited Away 2018 Re-release,"7,01,86,029","11,75,067","6,90,10,962",2018,1.674,98.326
894,Think Like a Man Too,"7,01,81,428","6,51,82,182","49,99,246",2014,92.877,7.123
895,See You Tomorrow,"7,00,65,569",0,"7,00,65,569",2016,0.000,100.000
896,The Cabin in the Woods,"6,99,35,600","4,20,73,277","2,78,62,323",2012,60.160,39.840
897,Sole a catinelle,"6,99,03,094",0,"6,99,03,094",2013,0.000,100.000
898,The Dilemma,"6,97,21,966","4,84,75,290","2,12,46,676",2011,69.527,30.473
899,After,"6,95,18,232","1,21,38,565","5,73,79,667",2019,17.461,82.539
900,Exit,"6,95,01,772","4,70,699","6,90,31,073",2019,0.677,99.323
901,Playing with Fire,"6,94,12,425","4,44,51,847","2,49,60,578",2019,64.040,35.960
902,13 Hours,"6,94,11,370","5,28,53,219","1,65,58,151",2015,76.145,23.855
903,Finding Nemo 2012 3D Release,"6,93,28,283","4,11,28,283","2,82,00,000",2012,59.324,40.676
904,Anna Karenina,"6,89,29,150","1,28,16,367","5,61,12,783",2012,18.594,81.406
905,Running Man,"6,87,82,475","3,10,978","6,84,71,497",2015,0.452,99.548
906,The Nut Job 2: Nutty by Nature,"6,87,43,485","2,83,70,522","4,03,72,963",2017,41.270,58.730
907,The Call,"6,85,72,631","5,18,72,378","1,67,00,253",2013,75.646,24.354
908,One Direction: This Is Us,"6,85,32,898","2,88,73,374","3,96,59,524",2013,42.131,57.869
909,Stalingrad,"6,83,16,452","10,13,945","6,73,02,507",2013,1.484,98.516
910,The Watch,"6,82,67,862","3,53,53,000","3,29,14,862",2012,51.786,48.214
911,Moonrise Kingdom,"6,82,63,166","4,55,12,466","2,27,50,700",2012,66.672,33.328
912,The Yin-Yang Master: Dream of Eternity,"6,80,00,000",0,"6,80,00,000",2020,0.000,100.000
913,Shoplifters,"6,79,99,335","33,13,513","6,46,85,822",2018,4.873,95.127
914,A Beautiful Day in the Neighborhood,"6,79,25,733","6,17,04,055","62,21,678",2019,90.840,9.160
915,Jersey Boys,"6,76,47,013","4,70,47,013","2,06,00,000",2014,69.548,30.452
916,The Secret of the Gods,"6,75,37,798",0,"6,75,37,798",2012,0.000,100.000
917,12 Strong,"6,74,50,815","4,58,19,713","2,16,31,102",2018,67.931,32.069
918,American Assassin,"6,72,34,188","3,62,49,674","3,09,84,514",2017,53.916,46.084
919,War,"6,71,79,155","46,54,000","6,25,25,155",2019,6.928,93.072
920,The Giver,"6,69,80,456","4,50,90,374","2,18,90,082",2014,67.319,32.681
921,Madea's Witness Protection,"6,68,99,242","6,56,53,242","12,46,000",2012,98.137,1.863
922,Mulan,"6,68,00,000",0,"6,68,00,000",2020,0.000,100.000
923,Selma,"6,67,87,908","5,20,76,908","1,47,11,000",2014,77.974,22.026
924,A Violent Prosecutor,"6,67,36,633",0,"6,67,36,633",2015,0.000,100.000
925,Victoria & Abdul,"6,65,58,465","2,22,45,070","4,43,13,395",2017,33.422,66.578
926,"Love, Simon","6,63,16,289","4,08,26,341","2,54,89,948",2018,61.563,38.437
927,Mile 22,"6,63,08,758","3,61,08,758","3,02,00,000",2018,54.455,45.545
928,One Piece Film: Gold,"6,62,07,073","4,23,593","6,57,83,480",2016,0.640,99.360
929,Life of the Party,"6,58,59,911","5,30,59,911","1,28,00,000",2018,80.565,19.435
930,Beijing Love Story,"6,58,42,375","4,28,318","6,54,14,057",2014,0.651,99.349
931,The Age of Adaline,"6,56,63,276","4,26,29,776","2,30,33,500",2015,64.922,35.078
932,Eiga Doraemon: Nobita no getsumen tansaki,"6,54,06,606",0,"6,54,06,606",2019,0.000,100.000
933,Moonlight,"6,53,36,603","2,78,54,932","3,74,81,671",2016,42.633,57.367
934,The House That Never Dies,"6,52,20,000",0,"6,52,20,000",2014,0.000,100.000
935,Stand by Me Doraemon 2,"6,51,68,379",0,"6,51,68,379",2020,0.000,100.000
936,Something Borrowed,"6,51,00,369","3,90,46,489","2,60,53,880",2011,59.979,40.021
937,The Pirates,"6,48,58,224","4,15,775","6,44,42,449",2014,0.641,99.359
938,God's Not Dead,"6,46,67,874","6,07,55,732","39,12,142",2014,93.950,6.050
939,The Darkest Hour,"6,46,26,786","2,14,43,494","4,31,83,292",2011,33.181,66.819
940,Happy Death Day 2U,"6,46,00,152","2,81,48,130","3,64,52,022",2019,43.573,56.427
941,L Storm,"6,45,17,456",0,"6,45,17,456",2018,0.000,100.000
942,Monster Trucks,"6,44,93,915","3,33,70,166","3,11,23,749",2016,51.742,48.258
943,Monk Comes Down the Mountain,"6,44,55,686",0,"6,44,55,686",2015,0.000,100.000
944,Capernaum,"6,44,17,003","16,61,096","6,27,55,907",2018,2.579,97.421
945,Fences,"6,44,14,761","5,76,82,904","67,31,857",2016,89.549,10.451
946,Zhongkui: Snow Girl and the Dark Crystal,"6,43,25,947","1,65,428","6,41,60,519",2015,0.257,99.743
947,Isle of Dogs,"6,42,41,499","3,20,15,231","3,22,26,268",2018,49.836,50.164
948,Suck Me Shakespeer 3,"6,42,36,772",0,"6,42,36,772",2017,0.000,100.000
949,Thunder and the House of Magic,"6,41,97,205","4,091","6,41,93,114",2013,0.006,99.994
950,The Danish Girl,"6,41,91,523","1,11,14,018","5,30,77,505",2015,17.314,82.686
951,The Boy,"6,41,88,367","3,58,19,556","2,83,68,811",2015,55.804,44.196
952,The Rescue,"6,41,59,976","18,797","6,41,41,179",2020,0.029,99.971
953,The Grandmaster,"6,40,76,736","65,94,959","5,74,81,777",2013,10.292,89.708
954,The Pirate Fairy,"6,39,98,725",0,"6,39,98,725",2014,0.000,100.000
955,The Inbetweeners 2,"6,38,52,235",0,"6,38,52,235",2014,0.000,100.000
956,Hanna,"6,37,82,078","4,02,59,119","2,35,22,959",2011,63.120,36.880
957,"Hail, Caesar!","6,36,47,656","3,04,98,085","3,31,49,571",2016,47.917,52.083
958,Footloose 2011 Re-release,"6,35,43,328","5,18,02,742","1,17,40,586",2011,81.523,18.477
959,Conan the Barbarian,"6,35,23,283","2,12,95,021","4,22,28,262",2011,33.523,66.477
960,Begin Again,"6,34,64,861","1,61,70,632","4,72,94,229",2014,25.480,74.520
961,Colombiana,"6,34,58,440","3,66,65,854","2,67,92,586",2011,57.779,42.221
962,Side Effects,"6,34,14,135","3,21,72,757","3,12,41,378",2013,50.734,49.266
963,The Host,"6,33,65,859","2,66,27,201","3,67,38,658",2013,42.021,57.979
964,The Hundred Regiments Offensive,"6,32,30,000",0,"6,32,30,000",2015,0.000,100.000
965,Detective Conan: Crimson Love Letter,"6,31,44,805",0,"6,31,44,805",2017,0.000,100.000
966,The Longest Ride,"6,29,44,815","3,74,46,117","2,54,98,698",2015,59.490,40.510
967,Unfriended,"6,28,82,090","3,24,82,090","3,04,00,000",2015,51.656,48.344
968,The Mountain Between Us,"6,28,32,209","3,03,48,555","3,24,83,654",2017,48.301,51.699
969,The Star,"6,28,12,974","4,08,52,824","2,19,60,150",2017,65.039,34.961
970,The Nice Guys,"6,27,88,218","3,62,61,763","2,65,26,455",2016,57.752,42.248
971,Beauty and the Beast 2012 3D Release,"6,27,67,829","4,76,17,067","1,51,50,762",2012,75.862,24.138
972,Runner Runner,"6,26,75,095","1,93,16,646","4,33,58,449",2013,30.820,69.180
973,How to Be a Latin Lover,"6,25,47,032","3,21,49,404","3,03,97,628",2017,51.400,48.600
974,The White Haired Witch of Lunar Kingdom,"6,25,15,046",0,"6,25,15,046",2014,0.000,100.000
975,Andhadhun,"6,24,75,342","11,93,046","6,12,82,296",2018,1.910,98.090
976,47 Meters Down,"6,21,87,529","4,43,07,191","1,78,80,338",2017,71.248,28.752
977,Brooklyn,"6,20,76,141","3,83,22,743","2,37,53,398",2015,61.735,38.265
978,"Dragon Ball Z: Resurrection ""F""","6,17,68,190","80,08,363","5,37,59,827",2015,12.965,87.035
979,White Snake,"6,16,31,776","34,730","6,15,97,046",2019,0.056,99.944
980,"Everything, Everything","6,16,21,140","3,41,21,140","2,75,00,000",2017,55.372,44.628
981,Woman in Gold,"6,16,19,773","3,33,07,793","2,83,11,980",2015,54.054,45.946
982,The Face Reader,"6,15,59,184","5,15,876","6,10,43,308",2013,0.838,99.162
983,Krampus,"6,15,48,707","4,27,25,475","1,88,23,232",2015,69.417,30.583
984,From Up on Poppy Hill,"6,14,59,425","10,02,895","6,04,56,530",2011,1.632,98.368
985,Bombshell,"6,14,04,394","3,17,62,808","2,96,41,586",2019,51.727,48.273
986,Ashfall,"6,13,54,854","3,72,562","6,09,82,292",2019,0.607,99.393
987,Astérix and Obélix: God Save Britannia,"6,13,19,383",0,"6,13,19,383",2012,0.000,100.000
988,The Legend of Hercules,"6,12,79,452","1,88,48,538","4,24,30,914",2013,30.758,69.242
989,The Walk,"6,11,81,942","1,01,37,502","5,10,44,440",2014,16.569,83.431
990,Doraemon: Great Adventure in the Antarctic Kachi Kochi,"6,11,53,455",0,"6,11,53,455",2017,0.000,100.000
991,Ma,"6,11,05,672","4,58,96,028","1,52,09,644",2019,75.109,24.891
992,Snatched,"6,08,45,711","4,58,52,178","1,49,93,533",2017,75.358,24.642
993,Kick-Ass 2,"6,07,95,985","2,87,95,985","3,20,00,000",2013,47.365,52.635
994,Love You Forever,"6,06,70,799",0,"6,06,70,799",2020,0.000,100.000
995,What a Beautiful Day,"6,06,61,950",0,"6,06,61,950",2011,0.000,100.000
996,The Founding of an Army,"6,06,00,361",0,"6,06,00,361",2017,0.000,100.000
997,Evangelion: 3.0 You Can (Not) Redo,"6,04,88,344","1,74,945","6,03,13,399",2012,0.289,99.711
998,My Little Pony: The Movie,"6,03,30,833","2,18,85,107","3,84,45,726",2017,36.275,63.725
999,The Perfect Guy,"6,02,73,173","5,70,27,435","32,45,738",2015,94.615,5.385
1000,A Haunted House,"6,01,59,584","4,00,41,683","2,01,17,901",2013,66.559,33.441
1001,Beautiful Creatures,"6,00,52,138","1,94,52,138","4,06,00,000",2013,32.392,67.608
1002,My Best Summer,"6,00,11,073",0,"6,00,11,073",2019,0.000,100.000
1003,Forever Young,"5,99,81,902","1,49,761","5,98,32,141",2015,0.250,99.750
1004,Adrift,"5,99,45,012","3,14,45,012","2,85,00,000",2018,52.456,47.544
1005,Quartet,"5,95,20,298","1,83,90,117","4,11,30,181",2012,30.897,69.103
1006,Rock of Ages,"5,94,18,613","3,85,18,613","2,09,00,000",2012,64.826,35.174
1007,Miss Granny,"5,93,96,311","2,34,573","5,91,61,738",2015,0.395,99.605
1008,One Day,"5,93,89,433","1,38,43,771","4,55,45,662",2011,23.310,76.690
1009,Molly's Game,"5,92,84,015","2,87,80,744","3,05,03,271",2017,48.547,51.453
1010,The Devotion of Suspect X,"5,90,35,664","6,86,435","5,83,49,229",2017,1.163,98.837
1011,The Gift,"5,89,78,653","4,37,87,265","1,51,91,388",2015,74.243,25.757
1012,Miss Granny,"5,89,40,254",0,"5,89,40,254",2014,0.000,100.000
1013,A Walk Among the Tombstones,"5,88,34,384","2,63,07,600","3,25,26,784",2014,44.715,55.285
1014,Shock Wave,"5,88,15,633",0,"5,88,15,633",2017,0.000,100.000
1015,The Tree of Life,"5,84,09,247","1,33,03,319","4,51,05,928",2011,22.776,77.224
1016,Beginning of the Great Revival,"5,83,09,289","1,51,000","5,81,58,289",2011,0.259,99.741
1017,Huo guo ying xiong,"5,81,06,427","7,79,818","5,73,26,609",2016,1.342,98.658
1018,L.O.R.D: Legend of Ravaging Dynasties,"5,80,89,494","3,50,456","5,77,39,038",2016,0.603,99.397
1019,Snitch,"5,78,24,674","4,29,30,462","1,48,94,212",2013,74.242,25.758
1020,Dolphin Tale 2,"5,78,24,533","4,20,24,533","1,58,00,000",2014,72.676,27.324
1021,Nine Lives,"5,78,14,445","1,97,00,032","3,81,14,413",2016,34.075,65.925
1022,That's My Boy,"5,77,19,093","3,69,31,089","2,07,88,004",2012,63.984,36.016
1023,Goldbuster,"5,76,28,292","1,86,135","5,74,42,157",2017,0.323,99.677
1024,Ready or Not,"5,76,15,777","2,87,14,231","2,89,01,546",2019,49.837,50.163
1025,The Physician,"5,72,84,237",0,"5,72,84,237",2013,0.000,100.000
1026,Jade Dynasty,"5,71,49,764",0,"5,71,49,764",2019,0.000,100.000
1027,Killer Elite,"5,70,84,522","2,51,24,966","3,19,59,556",2011,44.014,55.986
1028,Gekijouban Tenpesuto 3D,"5,70,82,491",0,"5,70,82,491",2011,0.000,100.000
1029,The 15:17 to Paris,"5,70,76,286","3,62,76,286","2,08,00,000",2018,63.558,36.442
1030,All the Money in the World,"5,69,96,304","2,51,13,707","3,18,82,597",2017,44.062,55.938
1031,Zoolander 2,"5,67,22,693","2,88,48,693","2,78,74,000",2016,50.859,49.141
1032,You Are My Sunshine,"5,66,40,000",0,"5,66,40,000",2015,0.000,100.000
1033,Das perfekte Geheimnis,"5,65,73,047",0,"5,65,73,047",2019,0.000,100.000
1034,The Big Sick,"5,64,11,585","4,28,73,127","1,35,38,458",2017,76.001,23.999
1035,A or B,"5,62,39,049",0,"5,62,39,049",2018,0.000,100.000
1036,The Big Shot,"5,60,40,681",0,"5,60,40,681",2019,0.000,100.000
1037,The Odd Life of Timothy Green,"5,60,12,642","5,18,54,875","41,57,767",2012,92.577,7.423
1038,Gongjo,"5,59,72,241","4,75,618","5,54,96,623",2017,0.850,99.150
1039,Firestorm,"5,57,54,766",0,"5,57,54,766",2013,0.000,100.000
1040,Dallas Buyers Club,"5,57,36,588","2,72,98,285","2,84,38,303",2013,48.977,51.023
1041,All Eyez on Me,"5,56,68,698","4,49,22,302","1,07,46,396",2017,80.696,19.304
1042,Lawless,"5,54,04,159","3,74,00,127","1,80,04,032",2012,67.504,32.496
1043,Silent Hill: Revelation,"5,53,62,705","1,75,29,157","3,78,33,548",2011,31.662,68.338
1044,Extremely Loud & Incredibly Close,"5,52,47,881","3,18,47,881","2,34,00,000",2011,57.645,42.355
1045,End of Watch,"5,50,78,146","4,10,03,371","1,40,74,775",2012,74.446,25.554
1046,Hellboy,"5,50,64,690","2,19,03,748","3,31,60,942",2019,39.778,60.222
1047,Wolf Children,"5,50,45,228",0,"5,50,45,228",2012,0.000,100.000
1048,Barbershop: The Next Cut,"5,50,30,051","5,40,30,051","10,00,000",2016,98.183,1.817
1049,Downsizing,"5,50,03,890","2,44,49,754","3,05,54,136",2017,44.451,55.549
1050,St. Vincent,"5,48,37,234","4,41,37,712","1,06,99,522",2014,80.489,19.511
1051,The Three Stooges,"5,48,19,301","4,43,38,224","1,04,81,077",2012,80.881,19.119
1052,Go Brother!,"5,46,63,060",0,"5,46,63,060",2018,0.000,100.000
1053,Early Man,"5,46,22,814","82,67,544","4,63,55,270",2018,15.136,84.864
1054,The Age of Shadows,"5,44,91,162","5,41,719","5,39,49,443",2016,0.994,99.006
1055,No Escape,"5,44,18,872","2,72,88,872","2,71,30,000",2015,50.146,49.854
1056,No Good Deed,"5,43,23,210","5,25,43,632","17,79,578",2014,96.724,3.276
1057,The Five-Year Engagement,"5,41,69,363","2,88,35,528","2,53,33,835",2012,53.232,46.768
1058,Madea's Big Happy Family,"5,41,61,287","5,33,45,287","8,16,000",2011,98.493,1.507
1059,A Ghost of a Chance,"5,39,82,636",0,"5,39,82,636",2011,0.000,100.000
1060,"I, Tonya","5,39,39,297","3,00,14,539","2,39,24,758",2017,55.645,44.355
1061,Peppermint,"5,39,18,723","3,54,18,723","1,85,00,000",2018,65.689,34.311
1062,Long Shot,"5,38,73,809","3,03,16,271","2,35,57,538",2019,56.273,43.727
1063,1987: When the Day Comes,"5,38,34,292",0,"5,38,34,292",2017,0.000,100.000
1064,Overheard 3,"5,34,93,428",0,"5,34,93,428",2014,0.000,100.000
1065,Supercondriaque,"5,34,25,036",0,"5,34,25,036",2014,0.000,100.000
1066,A Madea Christmas,"5,33,96,635","5,25,43,354","8,53,281",2013,98.402,1.598
1067,Sinister 2,"5,33,29,150","2,77,40,955","2,55,88,195",2015,52.018,47.982
1068,A Chinese Odyssey: Part Three,"5,33,06,108",0,"5,33,06,108",2016,0.000,100.000
1069,3 Days to Kill,"5,32,60,230","3,06,97,999","2,25,62,231",2014,57.638,42.362
1070,Temptation: Confessions of a Marriage Counselor,"5,31,43,144","5,19,75,354","11,67,790",2013,97.803,2.197
1071,Delivery Man,"5,31,20,346","3,06,64,106","2,24,56,240",2013,57.726,42.274
1072,The Outlaws,"5,29,46,454",0,"5,29,46,454",2017,0.000,100.000
1073,Detective Conan: Sunflowers of Inferno,"5,29,20,296",0,"5,29,20,296",2015,0.000,100.000
1074,Prem Ratan Dhan Payo,"5,27,15,771","43,64,639","4,83,51,132",2015,8.280,91.720
1075,Rurouni Kenshin Part II: Kyoto Inferno,"5,26,96,176",0,"5,26,96,176",2014,0.000,100.000
1076,Wild,"5,25,01,541","3,78,80,356","1,46,21,185",2014,72.151,27.849
1077,Tunnel,"5,24,44,295","5,68,876","5,18,75,419",2016,1.085,98.915
1078,The Boy Next Door,"5,24,25,855","3,54,23,380","1,70,02,475",2015,67.569,32.431
1079,The Night Before,"5,23,95,996","4,30,47,372","93,48,624",2015,82.158,17.842
1080,Greenland,"5,23,00,000",0,"5,23,00,000",2020,0.000,100.000
1081,Hollywood Adventures,"5,22,65,070",0,"5,22,65,070",2015,0.000,100.000
1082,Tolo Tolo,"5,21,86,426",0,"5,21,86,426",2020,0.000,100.000
1083,Patriots Day,"5,21,85,751","3,18,86,361","2,02,99,390",2016,61.102,38.898
1084,My Beloved Bodyguard,"5,21,65,873",0,"5,21,65,873",2016,0.000,100.000
1085,The Finest Hours,"5,20,99,090","2,75,69,558","2,45,29,532",2016,52.918,47.082
1086,Teen Titans GO! To the Movies,"5,20,90,236","2,97,90,236","2,23,00,000",2018,57.190,42.810
1087,"Yo-kai Watch Movie: It's the Secret of Birth, Meow!","5,18,38,845","2,57,343","5,15,81,502",2015,0.496,99.504
1088,Slender Man,"5,17,38,549","3,05,69,484","2,11,69,065",2018,59.085,40.915
1089,Master,"5,16,36,415","5,97,251","5,10,39,164",2016,1.157,98.843
1090,Breaking In,"5,14,11,620","4,68,40,590","45,71,030",2018,91.109,8.891
1091,Cry Me a Sad River,"5,14,00,614",0,"5,14,00,614",2018,0.000,100.000
1092,Hot Pursuit,"5,13,80,201","3,45,80,201","1,68,00,000",2015,67.303,32.697
1093,Once Upon a Deadpool 2018 Re-release,"5,13,49,833","61,00,309","4,52,49,524",2018,11.880,88.120
1094,Simmba,"5,13,29,025","51,02,129","4,62,26,896",2018,9.940,90.060
1095,The 100 Year-Old Man Who Climbed Out the Window and Disappeared,"5,11,67,572","9,44,193","5,02,23,379",2013,1.845,98.155
1096,Sunny,"5,11,16,421",0,"5,11,16,421",2011,0.000,100.000
1097,Magic in the Moonlight,"5,10,29,361","1,05,39,326","4,04,90,035",2014,20.653,79.347
1098,Red Dawn,"5,09,50,296","4,48,06,783","61,43,513",2012,87.942,12.058
1099,Doraemon the Movie: Nobita and the Birth of Japan,"5,09,39,840",0,"5,09,39,840",2016,0.000,100.000
1100,Vanguard,"5,08,66,901","7,93,525","5,00,73,376",2020,1.560,98.440
1101,War of the Arrows,"5,05,87,661","2,51,200","5,03,36,461",2011,0.497,99.503
1102,Kingdom,"5,05,74,061",0,"5,05,74,061",2019,0.000,100.000
1103,The Himalayas,"5,05,44,493","6,96,717","4,98,47,776",2015,1.378,98.622
1104,Dragon Ball Z: Battle of Gods,"5,04,61,371","25,53,002","4,79,08,369",2013,5.059,94.941
1105,Kokowääh,"5,04,47,784",0,"5,04,47,784",2011,0.000,100.000
1106,About Last Night,"5,04,45,860","4,86,37,684","18,08,176",2014,96.416,3.584
1107,Breakthrough,"5,04,44,358","4,07,13,082","97,31,276",2019,80.709,19.291
1108,Just Mercy,"5,04,01,502","3,60,01,502","1,44,00,000",2019,71.429,28.571
1109,Red Tails,"5,03,65,498","4,98,76,377","4,89,121",2012,99.029,0.971
1110,"Monsters, Inc. 2012 3D Release","5,02,07,820","3,40,43,006","1,61,64,814",2012,67.804,32.196
1111,HOUBA! On the Trail of the Marsupilami,"5,01,46,474",0,"5,01,46,474",2012,0.000,100.000
1112,Uncut Gems,"5,00,23,780","5,00,23,780",0,2019,100.000,0.000
1113,Dearest 2014 Re-release,"5,00,00,583",0,"5,00,00,583",2014,0.000,100.000
1114,Family is Family,"4,99,54,866",0,"4,99,54,866",2018,0.000,100.000
1115,21 Bridges,"4,99,39,757","2,85,39,757","2,14,00,000",2019,57.148,42.852
1116,Winnie the Pooh,"4,98,71,429","2,66,92,846","2,31,78,583",2011,53.523,46.477
1117,The Wailing,"4,98,51,770","7,86,633","4,90,65,137",2016,1.578,98.422
1118,The Boy and the Beast,"4,97,14,378","4,90,643","4,92,23,735",2015,0.987,99.013
1119,Two Is a Family,"4,96,19,118",0,"4,96,19,118",2016,0.000,100.000
1120,Song of Youth,"4,96,15,508",0,"4,96,15,508",2019,0.000,100.000
1121,Surprise,"4,95,67,466",0,"4,95,67,466",2015,0.000,100.000
1122,Death Wish,"4,95,62,710","3,40,17,028","1,55,45,682",2018,68.634,31.366
1123,The Grudge,"4,95,11,319","2,12,21,803","2,82,89,516",2019,42.863,57.137
1124,Tad: The Lost Explorer,"4,94,90,859",0,"4,94,90,859",2012,0.000,100.000
1125,Entourage,"4,92,63,404","3,23,63,404","1,69,00,000",2015,65.695,34.305
1126,A Turtle's Tale 2: Sammy's Escape from Paradise,"4,92,61,830",0,"4,92,61,830",2012,0.000,100.000
1127,The New Mutants,"4,91,69,594","2,38,52,659","2,53,16,935",2020,48.511,51.489
1128,Little,"4,89,87,096","4,08,60,481","81,26,615",2019,83.411,16.589
1129,Whiplash,"4,89,82,041","1,30,92,000","3,58,90,041",2014,26.728,73.272
1130,Never Gone,"4,89,80,792","96,421","4,88,84,371",2016,0.197,99.803
1131,The Berlin File,"4,89,72,848","6,65,210","4,83,07,638",2013,1.358,98.642
1132,Trouble with the Curve,"4,89,63,137","3,57,63,137","1,32,00,000",2012,73.041,26.959
1133,Luck-Key,"4,89,13,975","4,66,505","4,84,47,470",2016,0.954,99.046
1134,Florence Foster Jenkins,"4,89,02,953","2,73,83,770","2,15,19,183",2016,55.996,44.004
1135,The Woman in Black 2: Angel of Death,"4,88,54,305","2,65,01,323","2,23,52,982",2015,54.246,45.754
1136,Bleeding Steel,"4,88,25,526",0,"4,88,25,526",2017,0.000,100.000
1137,Fantasy Island,"4,88,11,343","2,73,09,289","2,15,02,054",2020,55.949,44.051
1138,Isn't It Romantic,"4,87,91,187","4,87,91,187",0,2019,100.000,0.000
1139,Mother's Day,"4,87,82,670","3,24,92,859","1,62,89,811",2016,66.607,33.393
1140,Concussion,"4,86,23,572","3,45,42,474","1,40,81,098",2015,71.041,28.959
1141,Her,"4,85,17,427","2,55,68,251","2,29,49,176",2013,52.699,47.301
1142,The Legend of Hei,"4,85,07,082",0,"4,85,07,082",2019,0.000,100.000
1143,Logan Lucky,"4,84,53,605","2,77,80,977","2,06,72,628",2017,57.335,42.665
1144,Homefront,"4,84,49,416","2,01,58,898","2,82,90,518",2013,41.608,58.392
1145,Chef,"4,84,28,048","3,14,24,003","1,70,04,045",2014,64.888,35.112
1146,Boo 2! A Madea Halloween,"4,83,33,932","4,73,19,572","10,14,360",2017,97.901,2.099
1147,The Last Stand,"4,83,30,757","1,20,50,299","3,62,80,458",2013,24.933,75.067
1148,Arthur,"4,81,47,945","3,30,35,397","1,51,12,548",2011,68.612,31.388
1149,Boyhood,"4,81,37,666","2,53,52,281","2,27,85,385",2014,52.666,47.334
1150,21 & Over,"4,80,65,672","2,56,82,380","2,23,83,292",2013,53.432,46.568
1151,Sky Hunter,"4,80,65,601",0,"4,80,65,601",2017,0.000,100.000
1152,Countdown,"4,80,21,766","2,56,21,766","2,24,00,000",2019,53.354,46.646
1153,After We Collided,"4,79,90,414","23,86,483","4,56,03,931",2020,4.973,95.027
1154,"From Today, It's My Turn: The Movie","4,78,66,854",0,"4,78,66,854",2020,0.000,100.000
1155,Midsommar,"4,78,63,365","2,74,26,361","2,04,37,004",2019,57.301,42.699
1156,Queen & Slim,"4,78,60,909","4,38,08,310","40,52,599",2019,91.533,8.467
1157,Phantom Thread,"4,77,56,590","2,11,98,205","2,65,58,385",2017,44.388,55.612
1158,"Yo-kai Watch Movie: It's the Secret of Birth, Meow! 2016 Re-release","4,76,42,462",0,"4,76,42,462",2016,0.000,100.000
1159,Man on a Ledge,"4,76,36,031","1,86,20,000","2,90,16,031",2012,39.088,60.912
1160,Inside Men,"4,76,16,503",0,"4,76,16,503",2015,0.000,100.000
1161,The Dead End,"4,76,00,000",0,"4,76,00,000",2015,0.000,100.000
1162,Coming Home,"4,75,87,984","3,77,607","4,72,10,377",2014,0.793,99.207
1163,47 Meters Down: Uncaged,"4,75,82,563","2,22,60,900","2,53,21,663",2019,46.784,53.216
1164,Boonie Bears Winter,"4,75,81,416",0,"4,75,81,416",2015,0.000,100.000
1165,Beauty and the Beast,"4,74,30,624",0,"4,74,30,624",2014,0.000,100.000
1166,The Magic Tuche,"4,74,27,990",0,"4,74,27,990",2018,0.000,100.000
1167,Nightcrawler,"4,73,98,992","3,23,81,217","1,50,17,775",2014,68.316,31.684
1168,Rough Night,"4,73,47,283","2,21,05,643","2,52,41,640",2017,46.688,53.312
1169,Texas Chainsaw,"4,73,40,586","3,43,41,945","1,29,98,641",2013,72.542,27.458
1170,A Monster Calls,"4,73,09,313","37,40,823","4,35,68,490",2016,7.907,92.093
1171,Tiny Times 2.0,"4,72,89,937","43,788","4,72,46,149",2013,0.093,99.907
1172,Golden Job,"4,72,87,851","2,85,795","4,70,02,056",2018,0.604,99.396
1173,Mortdecai,"4,72,75,695","76,96,134","3,95,79,561",2015,16.279,83.721
1174,Trolls World Tour,"4,71,96,831",0,"4,71,96,831",2020,0.000,100.000
1175,Switch,"4,71,64,301",0,"4,71,64,301",2013,0.000,100.000
1176,Soul Surfer,"4,71,20,948","4,38,53,424","32,67,524",2011,93.066,6.934
1177,The Place Beyond the Pines,"4,70,52,899","2,14,03,519","2,56,49,380",2013,45.488,54.512
1178,Son of Bigfoot,"4,70,46,281","2,89,308","4,67,56,973",2017,0.615,99.385
1179,Parker,"4,69,22,566","1,76,16,641","2,93,05,925",2013,37.544,62.456
1180,Mary Queen of Scots,"4,67,12,809","1,64,68,499","3,02,44,310",2018,35.255,64.745
1181,Uncle Drew,"4,66,64,414","4,24,69,946","41,94,468",2018,91.011,8.989
1182,Three Seconds,"4,65,96,415",0,"4,65,96,415",2017,0.000,100.000
1183,The Big Wedding,"4,65,22,137","2,18,19,348","2,47,02,789",2013,46.901,53.099
1184,Badges of Fury,"4,64,95,296",0,"4,64,95,296",2013,0.000,100.000
1185,Risen,"4,64,32,579","3,68,80,033","95,52,546",2016,79.427,20.573
1186,Acrimony,"4,64,03,669","4,35,49,096","28,54,573",2018,93.848,6.152
1187,A Werewolf Boy,"4,62,82,588","3,42,922","4,59,39,666",2012,0.741,99.259
1188,The Thousand Faces of Dunjia,"4,62,63,237","1,24,187","4,61,39,050",2017,0.268,99.732
1189,The Battleship Island,"4,61,83,383","11,04,957","4,50,78,426",2017,2.393,97.607
1190,Doraemon: Nobita and the Island of Miracles ~Animal Adventure~,"4,61,80,706",0,"4,61,80,706",2012,0.000,100.000
1191,Hanson and the Beast,"4,61,54,323",0,"4,61,54,323",2017,0.000,100.000
1192,Eddie the Eagle,"4,61,52,800","1,57,89,389","3,03,63,411",2016,34.211,65.789
1193,The World's End,"4,60,89,287","2,60,04,851","2,00,84,436",2013,56.423,43.577
1194,Gekijouban Tenpesuto 3D 2012 Re-release,"4,60,08,255",0,"4,60,08,255",2012,0.000,100.000
